DISTRITO,PROVINCIA,LAT_DIST,LON_DIST
SAISA,LUCANAS,-14.9402449,-74.4167887
SAN CRISTOBAL,LUCANAS,-14.7431742,-74.2224412
SAN PEDRO DE PALCO,LUCANAS,-14.4119513,-74.6510319
SAN PEDRO,LUCANAS,-14.7671803,-74.0976631
OCAÑA,LUCANAS,-14.3986309,-74.8227486
CHAVIÑA,LUCANAS,-14.9794632,-73.8373748
SAN JUAN,LUCANAS,-14.6516137,-74.1988989
CARMEN SALCEDO,LUCANAS,-14.4527315,-73.9643101
LLAUTA,LUCANAS,-14.2437107,-74.9199697
LEONCIO PRADO,LUCANAS,-14.6889802,-74.6449483
SANTA ANA DE HUAYCAHUACHO,LUCANAS,-14.2267538,-73.9568416
CORACORA,PARINACOCHAS,-15.01682,-73.7806339
PULLO,PARINACOCHAS,-15.2103216,-73.8265885
CHUMPI,PARINACOCHAS,-15.0948144,-73.7481655
CORONEL CASTAÑEDA,PARINACOCHAS,-14.7734005,-73.1826283
PUYUSCA,PARINACOCHAS,-15.2779216,-73.5681304
PARINACOCHAS,PARINACOCHAS,-15.2489232,-73.5675344
PACAPAUSA,PARINACOCHAS,-14.9499497,-73.3678698
UPAHUACHO,PARINACOCHAS,-14.9071739,-73.3978382
SAN FRANCISCO DE RAVACAYCO,PARINACOCHAS,-14.9969767,-73.3513405
LAMPA,PAUCAR DEL SARA SARA,-15.1850858,-73.3485703
PAUSA,PAUCAR DEL SARA SARA,-15.2789471,-73.3443491
PAUCAR DEL SARA SARA,PAUCAR DEL SARA SARA,-15.2785094,-73.3441696
SAN JAVIER DE ALPABAMBA,PAUCAR DEL SARA SARA,-15.0566202,-73.3224254
SARA SARA,PAUCAR DEL SARA SARA,-15.2667373,-73.4535983
SAN JOSE DE USHUA,PAUCAR DEL SARA SARA,-15.2247933,-73.2267347
CORCULLA,PAUCAR DEL SARA SARA,-15.2631753,-73.2005622
MARCABAMBA,PAUCAR DEL SARA SARA,-15.1498207,-73.3413923
OYOLO,PAUCAR DEL SARA SARA,-15.1791581,-73.1850674
QUEROBAMBA,SUCRE,-14.0113112,-73.8388183
SORAS,SUCRE,-14.1144908,-73.6040552
SUCRE,SUCRE,-6.9396163,-78.1351447
MORCOLLA,SUCRE,-14.1086995,-73.8722162
CHALCOS,SUCRE,-13.8477453,-73.7540891
SAN PEDRO DE LARCAY,SUCRE,-14.168823,-73.5728159
CHILCAYOC,SUCRE,-13.8834503,-73.7273297
PAICO,SUCRE,-14.0383594,-73.6421391
SAN SALVADOR DE QUIJE,SUCRE,-13.9684014,-73.7347073
SANTIAGO DE PAUCARAY,SUCRE,-14.0441304,-73.6374396
BELEN,SUCRE,-13.80884,-73.7577858
HUALLA,VICTOR FAJARDO,-13.8498374,-73.9508662
HUANCAPI,VICTOR FAJARDO,-13.7524539,-74.0663014
CAYARA,VICTOR FAJARDO,-13.7950216,-73.9888655
CANARIA,VICTOR FAJARDO,-13.9235214,-73.9047763
COLCA,VICTOR FAJARDO,-13.7125385,-74.0335467
VICTOR FAJARDO,VICTOR FAJARDO,-13.7487,-74.0654
HUANCARAYLLA,VICTOR FAJARDO,-13.7186797,-74.102109
HUAMANQUIQUIA,VICTOR FAJARDO,-13.7291512,-74.2719606
SARHUA,VICTOR FAJARDO,-13.6729102,-74.3198661
ALCAMENCA,VICTOR FAJARDO,-13.6383605,-74.1931859
APONGO,VICTOR FAJARDO,-14.0132331,-73.9324818
ASQUIPATA,VICTOR FAJARDO,-14.0551088,-73.9096218
VILCAS HUAMAN,VILCAS HUAMAN,-13.6530968,-73.9538315
ACCOMARCA,VILCAS HUAMAN,-13.8008867,-73.9040554
CONCEPCION,VILCAS HUAMAN,-13.5326521,-73.8751428
CARHUANCA,VILCAS HUAMAN,-13.7424052,-73.7875323
SAURAMA,VILCAS HUAMAN,-13.695496,-73.7592506
HUAMBALPA,VILCAS HUAMAN,-13.7503074,-73.9315832
INDEPENDENCIA,VILCAS HUAMAN,-13.8846729,-73.8570602
TUMBES,TUMBES,-3.5707875,-80.4596454
ZORRITOS,CONTRALMIRANTE VILLAR,-3.680529,-80.6797377
LA CRUZ,TUMBES,-3.6708625,-80.571425
CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,-4.0122929,-80.889965
MANCORA,TALARA,-4.1030531,-81.0481341
